127.0.0.1, 2017-01-29 01:00:00, GET, /, HTTP/1.1, 303, 0.024363
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.393936
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002581
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001401
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000701
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000549
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000862
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000722
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001078
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.003462
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000578
127.0.0.1, 2017-01-29 01:00:00, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000593
127.0.0.1, 2017-01-29 01:00:01, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000691
127.0.0.1, 2017-01-29 01:00:01, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000535
127.0.0.1, 2017-01-29 01:00:01, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000822
127.0.0.1, 2017-01-29 01:00:01, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000581
127.0.0.1, 2017-01-29 01:00:01, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000530
127.0.0.1, 2017-01-29 01:00:02, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000829
127.0.0.1, 2017-01-29 01:00:44, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 200, 0.182948
127.0.0.1, 2017-01-29 01:00:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000392
127.0.0.1, 2017-01-29 01:00:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.042361
127.0.0.1, 2017-01-29 01:00:49, GET, /admin/default/index, HTTP/1.1, 200, 0.004459
127.0.0.1, 2017-01-29 01:00:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000916
127.0.0.1, 2017-01-29 01:00:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.036098
127.0.0.1, 2017-01-29 01:01:14, GET, /, HTTP/1.1, 303, 0.015760
